,"GEO_city,state",year,MWE,MWE_Occupation Type_code,MWE_Occupation Type,MWE_Skill Level,MWE_How Paid,cityid,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019
105,"Charlotte, NC",2019,63.28,110000,Management occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
106,"Charlotte, NC",2019,39.49,130000,Business and financial operations occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
107,"Charlotte, NC",2019,44.80,150000,Computer and mathematical occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
108,"Charlotte, NC",2019,39.18,170000,Architecture and engineering occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
109,"Charlotte, NC",2019,33.88,190000,"Life, physical, and social science occupations",All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
110,"Charlotte, NC",2019,22.87,210000,Community and social service occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
111,"Charlotte, NC",2019,19.79,230000,Legal occupations,Level 06,All workers,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
112,"Charlotte, NC",2019,23.48,250000,Educational instruction and library occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
113,"Charlotte, NC",2019,31.65,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
114,"Charlotte, NC",2019,14.41,290000,Healthcare practitioners and technical occupations,Level 03,All workers,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
115,"Charlotte, NC",2019,15.51,310000,Healthcare support occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
116,"Charlotte, NC",2019,21.26,330000,Protective service occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
117,"Charlotte, NC",2019,13.81,350000,Food preparation and serving related occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
118,"Charlotte, NC",2019,13.71,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
119,"Charlotte, NC",2019,16.30,390000,Personal care and service occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
120,"Charlotte, NC",2019,29.63,410000,Sales and related occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
121,"Charlotte, NC",2019,19.97,430000,Office and administrative support occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
122,"Charlotte, NC",2019,21.15,470000,Construction and extraction occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
123,"Charlotte, NC",2019,24.64,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
124,"Charlotte, NC",2019,18.68,510000,Production occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
125,"Charlotte, NC",2019,19.00,530000,Transportation and material moving occupations,All levels,Full-time,17,Charlotte,NC,North Carolina,37,35.23,-80.84,1110356
126,"Chicago, IL",2019,61.09,110000,Management occupations,All levels,Full-time,3,Chicago,IL,Illinois,17,41.88,-87.63,5150233
